Status/Delivery Method,Capacity,Seats Taken,Seats Remaining,CRN,Course Code,Course Name,Credits,Class Days,Class Start Time,Class End Time,Class Location,Exam Days,Exam Start Time,Exam End Time,Exam Location,Instructor,Term Length
on campus,43,3,0,13838,ACG 2021,Intro. to Financial Acctg.,3,T R,12:00pm,01:15pm,Sugden Resort &Hospitality Mgt 240,R,10:00am,12:15pm,Sugden Resort &Hospitality Mgt 240,"Can, M.",Full Term
on campus,43,2,0,12820,ACG 2021,Intro. to Financial Acctg.,3,T R,10:30am,11:45am,Lutgert Hall 2210,T,10:00am,12:15pm,Lutgert Hall 2210,"Furticella, E.",Full Term
on campus,43,4,0,16275,ACG 2021,Intro. to Financial Acctg.,3,T R,04:30pm,05:45pm,Lutgert Hall 2210,T,03:00pm,05:15pm,Lutgert Hall 2210,"Granitto, S.",Full Term
on campus,43,4,0,14507,ACG 2021,Intro. to Financial Acctg.,3,M W F,01:30pm,02:20pm,Lutgert Hall 2201,W,12:30pm,02:45pm,Lutgert Hall 2201,"Kwarteng, G.",Full Term
on campus,43,3,0,15794,ACG 2021,Intro. to Financial Acctg.,3,T R,01:30pm,02:45pm,Sugden Resort &Hospitality Mgt 240,T,12:30pm,02:45pm,Sugden Resort &Hospitality Mgt 240,"Can, M.",Full Term
on campus,43,3,0,15795,ACG 2021,Intro. to Financial Acctg.,3,T R,03:00pm,04:15pm,Sugden Resort &Hospitality Mgt 240,R,12:30pm,02:45pm,Sugden Resort &Hospitality Mgt 240,"Can, M.",Full Term
on campus,43,3,0,15791,ACG 2021,Intro. to Financial Acctg.,3,M W F,04:30pm,05:20pm,Lutgert Hall 2201,W,03:00pm,05:15pm,Lutgert Hall 2201,"Kwarteng, G.",Full Term
on campus,43,3,0,11006,ACG 2021,Intro. to Financial Acctg.,3,T R,06:00pm,07:15pm,Marieb Hall 100,T,05:45pm,08:00pm,Marieb Hall 100,"Clipse, M.",Full Term
on campus,43,3,0,11005,ACG 2021,Intro. to Financial Acctg.,3,M W F,03:30pm,04:20pm,Lutgert Hall 2201,F,12:30pm,02:45pm,Lutgert Hall 2201,"Conrecode, J.",Full Term
on campus,43,3,0,11004,ACG 2021,Intro. to Financial Acctg.,3,M W F,02:30pm,03:20pm,Lutgert Hall 2201,S,12:30pm,02:45pm,Lutgert Hall 2201,"Conrecode, J.",Full Term
on campus,43,1,0,11003,ACG 2021,Intro. to Financial Acctg.,3,M W F,10:30am,11:20am,Lutgert Hall 2201,W,10:00am,12:15pm,Lutgert Hall 2201,"Conrecode, J.",Full Term
on campus,43,3,0,11002,ACG 2021,Intro. to Financial Acctg.,3,M W F,12:30pm,01:20pm,Lutgert Hall 2201,F,10:00am,12:15pm,Lutgert Hall 2201,"Conrecode, J.",Full Term
on campus,43,3,0,14141,ACG 2021,Intro. to Financial Acctg.,3,M W F,11:30am,12:20pm,Lutgert Hall 2201,S,10:00am,12:15pm,Lutgert Hall 2201,"Conrecode, J.",Full Term
closed,45,0,0,16239,ACG 2071,Intro. to Managerial Acctg.,3,T R,06:00pm,07:15pm,Sugden Resort &Hospitality Mgt 110,T,05:45pm,08:00pm,Sugden Resort &Hospitality Mgt 110,"Can, M.",Full Term
closed,45,0,0,15105,ACG 2071,Intro. to Managerial Acctg.,3,W,01:30pm,04:15pm,Lutgert Hall 1202,W,12:30pm,02:45pm,Lutgert Hall 1202,"Aguir, W.",Full Term
closed,45,0,0,15321,ACG 2071,Intro. to Managerial Acctg.,3,M,05:30pm,08:15pm,Lutgert Hall 1206,F,05:45pm,08:00pm,Lutgert Hall 1206,"Aguir, W.",Full Term
on campus,45,22,0,16252,ACG 2071,Intro. to Managerial Acctg.,3,W,01:30pm,04:15pm,Lutgert Hall 2210,W,12:30pm,02:45pm,Lutgert Hall 2210,"Wheeler, P.",Full Term
closed,45,0,0,15155,ACG 2071,Intro. to Managerial Acctg.,3,M,01:30pm,04:15pm,Griffin Hall 109,F,12:30pm,02:45pm,Griffin Hall 109,"Can, M.",Full Term
closed,45,0,0,11011,ACG 2071,Intro. to Managerial Acctg.,3,M,01:30pm,04:15pm,Lutgert Hall 1202,F,12:30pm,02:45pm,Lutgert Hall 1202,"Wheeler, P.",Full Term
closed,45,0,0,11012,ACG 2071,Intro. to Managerial Acctg.,3,T R,12:00pm,01:15pm,Lutgert Hall 1206,R,10:00am,12:15pm,Lutgert Hall 1206,"Granitto, S.",Full Term
closed,45,0,0,11013,ACG 2071,Intro. to Managerial Acctg.,3,W,05:30pm,08:15pm,Lutgert Hall 2201,W,05:45pm,08:00pm,Lutgert Hall 2201,"Aguir, W.",Full Term
on campus,24,7,0,15322,ACG 3103,Intermediate Fin. Acctg. I,3,T R,06:00pm,07:15pm,Lutgert Hall 2210,T,05:45pm,08:00pm,Lutgert Hall 2210,"Granitto, S.",Full Term
closed,24,0,0,11016,ACG 3103,Intermediate Fin. Acctg. I,3,T R,10:30am,11:45am,Lutgert Hall 1206,T,10:00am,12:15pm,Lutgert Hall 1206,"Pinello, A.",Full Term
on campus,30,1,0,11018,ACG 3113,Intermediate Fin. Acctg. II,3,W,01:30pm,02:45pm,Lutgert Hall 2212,W,08:15pm,10:30pm,Lutgert Hall 2212,"Valencia, A.",Full Term
on campus,30,5,0,11017,ACG 3113,Intermediate Fin. Acctg. II,3,T R,03:00pm,04:15pm,Lutgert Hall 1206,R,12:30pm,02:45pm,Lutgert Hall 1206,"Granitto, S.",Full Term
on campus,50,6,0,12810,ACG 3341,Cost Accounting,3,M,01:30pm,04:15pm,Lutgert Hall 2210,F,12:30pm,02:45pm,Lutgert Hall 2210,"Aguir, W.",Full Term
on campus,40,7,0,11020,ACG 3401,Accounting Information Systems,3,W,04:30pm,07:15pm,Lutgert Hall 2209,W,03:00pm,05:15pm,Lutgert Hall 2209,"Acheampong, D.",Full Term
on campus,25,9,0,15346,ACG 3842,Accounting Data Analytics,3,R,05:30pm,08:15pm,Lutgert Hall 1206,,,,,"Acheampong, D.",Full Term
on campus,30,3,0,15323,ACG 4123,Intermediate Fin. Acct. III,3,T,05:30pm,08:15pm,Lutgert Hall 1206,T,05:45pm,08:00pm,Lutgert Hall 1206,"Valencia, A.",Full Term
on campus,35,2,0,11025,ACG 4632,Independent Audit I,3,T R,12:00pm,01:15pm,Lutgert Hall 2209,R,10:00am,12:15pm,Lutgert Hall 2209,"Pinello, A.",Full Term
on campus,30,23,0,15302,ACG 4684,Fraud Examinations,3,W,03:00pm,04:15pm,Lutgert Hall 2212,S,08:15pm,10:30pm,Lutgert Hall 2212,"Valencia, A.",Full Term
off campus,20,16,0,12103,ACG 4940,Accounting Internship,3,,,,Off Campus Site TBA TBA,,,,,"Benford, T.",Full Term
on campus,35,25,0,14510,ACG 5005,Graduate Financial Accounting,3,S,10:30am,01:15pm,Lutgert Hall 2201,S,10:00am,12:15pm,Lutgert Hall 1201,"Acheampong, D.",Full Term
on campus,35,13,0,14512,ACG 5347,Graduate Cost Accounting,3,S,01:30pm,04:15pm,Lutgert Hall 2201,,,,,"Kwarteng, G.",Full Term
on campus,35,20,0,14514,ACG 5627,Systems Auditing,3,R,05:30pm,08:15pm,University Library Classroom 438,R,05:45pm,08:00pm,University Library Classroom 438,"Pinello, A.",Full Term
distance learning,100,35,20,15324,ACG 6075,Managerial Accounting,3,,,,Online (Virtual),,,,,"Valencia, A.",Session II (7 weeks)
on campus,30,8,5,11027,ACG 6075,Managerial Accounting,3,R,05:30pm,08:15pm,Sugden Resort &Hospitality Mgt 208,R,05:45pm,08:00pm,Sugden Resort &Hospitality Mgt 208,"Malimage, K.",Full Term
on campus,35,7,0,16276,ACG 6135,Accounting Theory,3,T,05:30pm,08:15pm,University Library Classroom 410,,,,,"Malimage, K.",Full Term
closed,35,0,0,11028,ACG 6135,Accounting Theory,3,T,05:30pm,08:15pm,University Library Classroom 410,,,,,"Malimage, K.",Full Term
closed,35,0,0,12667,ACG 6405,Adv Acct Information Systems,3,W,05:30pm,08:15pm,Lutgert Hall 2210,W,05:45pm,08:00pm,Lutgert Hall 2210,"Wheeler, P.",Full Term
on campus,35,3,0,16191,ACG 6405,Adv Acct Information Systems,3,M,05:30pm,08:15pm,University Library Classroom 438,F,05:45pm,08:00pm,University Library Classroom 438,"Wheeler, P.",Full Term
on campus,30,10,0,14518,ACG 6841,Advanced Accounting Analytics,3,T,05:30pm,08:15pm,Griffin Hall 111,T,08:15pm,10:30pm,Griffin Hall 111,"Acheampong, D.",Full Term
